surname,district,past_local,present_local,past_national,present_national,raw_total
เกสรทอง,เพชรบูรณ์,0,0,1,0,7
จงสุทธนามณี,เชียงราย,0,0,1,1,7
เพ็งนรพัฒน์,ศรีสะเกษ,0,0,1,1,7
ตีรสวัสดิชัย,สกลนคร,0,0,1,1,7
ทรัพยสิทธิ์,นครพนม,0,0,1,0,7
บุญมี,นครปฐม,0,0,1,0,7
อินทร์รอด,หนองคาย,1,0,1,1,7
ปัญญาดี,เชียงราย,1,0,1,0,7
โภคกุลกานนท์,อุบลราชธานี,1,0,1,0,7
อุตรสินธุ์,นราธิวาส,0,0,1,0,7
เจริญเชื้อ,ขอนแก่น,1,0,1,1,7
พงษ์พานิช,ขอนแก่น,0,0,1,0,7
เลิศนุวัฒน์,เชียงราย,0,0,1,1,7
พยัคฆบุตร,ลำปาง,0,0,1,0,7
หัตถสงเคราะห์,อุดรธานี,0,0,1,0,7
เขียวฤทธิ์,สุโขทัย,1,0,1,0,7
คลังผา,ลพบุรี,1,0,1,0,7
ไตรสรณกุล,ศรีสะเกษ,1,1,1,1,7
วงศ์สวัสดิ์,ลำพูน,0,0,1,0,7
วงศ์สวัสดิ์,ลำปาง,0,0,1,0,7
สาระผล,ขอนแก่น,0,0,1,0,7
สุขารมณ์,กาญจนบุรี,0,0,1,0,7
แซ่จึง,ศรีสะเกษ,1,0,1,1,7
ลาภาโรจน์กิจ,สงขลา,0,0,1,0,7
การิกาญจน์,นครศรีธรรมราช,0,0,1,0,7
กงเพชร,มหาสารคาม,0,0,1,0,7
ฤกษ์หร่าย,กำแพงเพชร,0,0,1,1,7
ชัยเชาวรัตน์,อุดรธานี,0,0,1,0,7
สุนทรวัฒน์,สระบุรี,0,0,1,0,7
ระหงษ์,สมุทรสาคร,0,0,1,0,7
สภาวสุ,พระนครศรีอยุธยา,0,0,1,0,7
จีนาภักดิ์,กาญจนบุรี,1,0,1,0,7
ยาวอหะซัน,นราธิวาส,1,1,1,1,7
ศรีอ่อน,ประจวบคีรีขันธ์,0,0,1,1,7
ไกรคุปต์,ราชบุรี,0,0,1,1,7
ไพรสณฑ์,กรุงเทพมหานคร,0,0,1,0,7
มามะ,นราธิวาส,0,0,1,0,7
ศรีแก้ว,น่าน,0,0,1,1,6
ประจวบเหมาะ,ประจวบคีรีขันธ์,0,0,1,0,6
สินธุไพร,ร้อยเอ็ด,0,0,1,1,6
วงษ์ประยูร,สระบุรี,0,0,1,1,6
เทพบุตร,ภูเก็ต,0,0,1,0,6
สาลีรัฐวิภาค,กรุงเทพมหานคร,0,0,1,1,6
การุญ,ระยอง,0,0,1,0,6
วิชยสุทธิ์,นครพนม,0,0,1,1,6
นพขำ,ปทุมธานี,1,0,1,1,6
นพอมรบดี,ราชบุรี,0,0,1,1,6
วิชัยดิษฐ,สุราษฎร์ธานี,0,0,1,0,6
จันทรรวงทอง,นครราชสีมา,0,0,1,1,6
เตริยาภิรมย์,เชียงใหม่,0,0,1,0,6
จรัสดำรงนิตย์,ศรีสะเกษ,0,0,1,0,6
โพธิ์สุ,นครพนม,0,1,1,1,6
สมวงศ์,ยโสธร,1,1,1,1,6
สมพงษ์,กรุงเทพมหานคร,0,0,1,0,6
วีสมหมาย,ศรีสะเกษ,0,0,1,0,6
นาคสุข,ยโสธร,1,0,0,0,6
เตียวเจริญโสภา,สุรินทร์,1,0,1,0,6
สมทรัพย์,ร้อยเอ็ด,0,0,1,1,6
สภาวสุ,นครราชสีมา,0,0,1,0,6
สบายเมือง,กำแพงเพชร,1,0,1,0,6
ศิริวันสาณฑ์,นครสวรรค์,0,0,1,0,6
ศรีพันธุ์,อุดรธานี,1,0,1,1,6
ไทยเศรษฐ์,อุทัยธานี,1,0,1,1,6
สลักเพชร,ตราด,0,0,1,0,6
สุวิทย์,สงขลา,0,0,1,0,6
คูวิจิตรสุวรรณ,สระบุรี,1,0,1,0,6
อนามพงษ์,จันทบุรี,0,0,1,0,6
สุภาแพ่ง,เพชรบุรี,0,0,1,0,6
พิทักษ์พรพัลลภ,อุบลราชธานี,0,0,1,1,6
อรุณเวสสะเศรษฐ,ระยอง,1,0,1,0,6
โสภณพนิช,กรุงเทพมหานคร,0,0,1,1,6
ยังตรง,สมุทรปราการ,0,0,1,0,6
สุวรรณทัต,กรุงเทพมหานคร,0,0,1,0,6
พูนศรีธนากูล,สุรินทร์,1,0,1,1,6
รักความสุข,สกลนคร,0,0,1,0,6
ทั่งทอง,ประจวบคีรีขันธ์,0,0,1,0,6
โหตระไวศยะ,ศรีสะเกษ,0,0,1,1,6
มีนชัยนันท์,กรุงเทพมหานคร,0,0,1,0,6
มงคลธรรม,กาฬสินธุ์,0,0,1,0,6
มณีรัตน์,ลำพูน,0,0,1,1,6
มนตริวัต,กาญจนบุรี,0,0,1,0,6
ระหงษ์,สมุทรปราการ,0,0,1,0,6
รังสิตพล,กรุงเทพมหานคร,0,0,1,0,6
อุไรรัตน์,ฉะเชิงเทรา,0,0,1,0,6
พงษ์สุวรรณศิริ,ยะลา,0,0,1,0,6
สุไลมาน,ปัตตานี,0,0,1,1,6
กิจเลิศไพโรจน์,สมุทรปราการ,0,0,1,1,6
อุตโมท,จันทบุรี,0,0,1,0,6
สีหลักษณ์,อุตรดิตถ์,0,0,1,0,6
ลิ้มตระกูล,อุตรดิตถ์,0,0,1,1,6
คุณเงิน,ขอนแก่น,0,0,1,1,6
พรหมา,หนองบัวลำภู,0,0,1,1,6
รุ่งธนเกียรติ,สุรินทร์,1,0,1,0,6
ลัทธศักดิ์ศิริ,ราชบุรี,0,0,1,0,6
โล่สถาพรพิพิธ,ตรัง,0,1,1,1,6
โล่ห์วีระ,ชัยภูมิ,0,1,1,0,6
พร้อมพันธุ์,นครราชสีมา,0,0,1,0,6
พลเดช,บุรีรัมย์,0,0,1,0,6
ฤกษ์สำราญ,กรุงเทพมหานคร,0,0,1,0,6
ปุณณกันต์,กรุงเทพมหานคร,0,0,1,1,6
อึ้งอัมพรวิไล,ปทุมธานี,0,0,1,1,6
ทองศรี,บึงกาฬ,0,1,1,1,6
ตันติสุนทร,ตาก,0,0,1,0,6
เล็กอุทัย,อุตรดิตถ์,0,0,1,0,6
ชัยรุ่งเรือง,มหาสารคาม,0,0,1,0,6
จิรเมธากร,อุดรธานี,0,0,1,0,6
เลิศด้วยลาภ,นครราชสีมา,0,0,1,1,6
ชัยจิตวณิชกุล,อุดรธานี,0,0,1,0,6
เลาวัณย์ศิริ,นครราชสีมา,1,0,1,0,6
ชีวานันท์,พระนครศรีอยุธยา,0,0,1,1,6
จารุสมบัติ,ฉะเชิงเทรา,0,0,1,0,6
ด่านชัยวิจิตร,พระนครศรีอยุธยา,0,0,1,1,6
